Current configuration:
[NAME]		[DEFLT]	[VALUE]
-allphones	no	no
-example	no	no
-help		no	no
-imoddeffn		/home/simone/Documenti/Elaborazione/project-NLP/model_architecture/android_db.alltriphones.mdef
-omoddeffn		/home/simone/Documenti/Elaborazione/project-NLP/model_architecture/android_db.200.mdef
-psetfn			/home/simone/Documenti/Elaborazione/project-NLP/model_architecture/android_db.tree_questions
-treedir		/home/simone/Documenti/Elaborazione/project-NLP/trees/android_db.200

INFO: model_def_io.c(573): Model definition info:
INFO: model_def_io.c(574): 598 total models defined (27 base, 571 tri)
INFO: model_def_io.c(575): 2392 total states
INFO: model_def_io.c(576): 1794 total tied states
INFO: model_def_io.c(577): 81 total tied CI states
INFO: model_def_io.c(578): 27 total tied transition matrices
INFO: model_def_io.c(579): 4 max state/model
INFO: model_def_io.c(580): 4 min state/model
INFO: main.c(93): Reading: /home/simone/Documenti/Elaborazione/project-NLP/model_architecture/android_db.tree_questions
INFO: main.c(124): EE-0: offset 81
INFO: main.c(124): EE-1: offset 84
INFO: main.c(124): EE-2: offset 87
INFO: main.c(124): OO-0: offset 90
INFO: main.c(124): OO-1: offset 93
INFO: main.c(124): OO-2: offset 96
INFO: main.c(124): a-0: offset 99
INFO: main.c(124): a-1: offset 101
INFO: main.c(124): a-2: offset 103
INFO: main.c(124): a1-0: offset 105
INFO: main.c(124): a1-1: offset 110
INFO: main.c(124): a1-2: offset 115
INFO: main.c(124): d-0: offset 119
INFO: main.c(124): d-1: offset 120
INFO: main.c(124): d-2: offset 122
INFO: main.c(124): e-0: offset 124
INFO: main.c(124): e-1: offset 126
INFO: main.c(124): e-2: offset 128
INFO: main.c(124): e1-0: offset 132
INFO: main.c(124): e1-1: offset 134
INFO: main.c(124): e1-2: offset 136
INFO: main.c(124): i-0: offset 138
INFO: main.c(124): i-1: offset 141
INFO: main.c(124): i-2: offset 143
INFO: main.c(124): i1-0: offset 146
INFO: main.c(124): i1-1: offset 148
INFO: main.c(124): i1-2: offset 150
INFO: main.c(124): j-0: offset 151
INFO: main.c(124): j-1: offset 153
INFO: main.c(124): j-2: offset 155
INFO: main.c(124): k-0: offset 157
INFO: main.c(124): k-1: offset 162
INFO: main.c(124): k-2: offset 166
INFO: main.c(124): l-0: offset 170
INFO: main.c(124): l-1: offset 171
INFO: main.c(124): l-2: offset 172
INFO: main.c(124): m-0: offset 173
INFO: main.c(124): m-1: offset 175
INFO: main.c(124): m-2: offset 177
INFO: main.c(124): n-0: offset 180
INFO: main.c(124): n-1: offset 183
INFO: main.c(124): n-2: offset 186
INFO: main.c(124): ng-0: offset 190
INFO: main.c(124): ng-1: offset 191
INFO: main.c(124): ng-2: offset 192
INFO: main.c(124): o-0: offset 193
INFO: main.c(124): o-1: offset 197
INFO: main.c(124): o-2: offset 201
INFO: main.c(124): o1-0: offset 205
INFO: main.c(124): o1-1: offset 206
INFO: main.c(124): o1-2: offset 207
INFO: main.c(124): p-0: offset 208
INFO: main.c(124): p-1: offset 210
INFO: main.c(124): p-2: offset 212
INFO: main.c(124): r-0: offset 214
INFO: main.c(124): r-1: offset 218
INFO: main.c(124): r-2: offset 222
INFO: main.c(124): s-0: offset 227
INFO: main.c(124): s-1: offset 229
INFO: main.c(124): s-2: offset 230
INFO: main.c(124): t-0: offset 232
INFO: main.c(124): t-1: offset 238
INFO: main.c(124): t-2: offset 244
INFO: main.c(124): tSS-0: offset 250
INFO: main.c(124): tSS-1: offset 252
INFO: main.c(124): tSS-2: offset 253
INFO: main.c(124): ts-0: offset 255
INFO: main.c(124): ts-1: offset 258
INFO: main.c(124): ts-2: offset 260
INFO: main.c(124): u1-0: offset 263
INFO: main.c(124): u1-1: offset 266
INFO: main.c(124): u1-2: offset 269
INFO: main.c(124): v-0: offset 272
INFO: main.c(124): v-1: offset 274
INFO: main.c(124): v-2: offset 275
INFO: main.c(124): w-0: offset 277
INFO: main.c(124): w-1: offset 278
INFO: main.c(124): w-2: offset 279
INFO: main.c(145): n_seno= 281
Sun Dec 11 12:12:09 2016
